section,category,entity,sub_entity,attribute,description,impact,aava1_ref,aava2_ref
summary,overall_score,workflow,,,77,,
summary,semantic_similarity,workflow,,,85,,
summary,structural_similarity,workflow,,,25,,
summary,governance_quality,workflow,,,70,,
summary,migration_readiness,workflow,,,Requires comprehensive migration,,
scoring,semantic_similarity,workflow,,,High semantic preservation across all agents,,
scoring,structural_similarity,workflow,,,Major breaking reorganization,,
scoring,governance_quality,workflow,,,Loss of expectedOutput constraints,,
scoring,overall,workflow,,,Balanced by high correctness and semantic preservation,,
deduction,executive_summary,workflow,,,AAVA 2.0 introduces breaking structural changes while preserving core agent semantics,High migration effort required,,
deduction,structural_analysis,workflow,,workflowId,Workflow identifier moved from root to workflow detail container,Breaking path change,pipelineId,workFlowDetail.id
deduction,schema_evolution,workflow,,container,Pipeline container renamed to workFlowDetail,Requires orchestration updates,pipeline,workFlowDetail
deduction,schema_evolution,workflow,,agents,pipeLineAgents renamed to workflowAgents,Agent reference updates required,pipeLineAgents,workflowAgents
deduction,agent_renamed,agent,DI_Token_Size_Estimator_S3_IMS,,Agent renamed with preserved semantic role,Low semantic risk,DI_Token_Size_Estimator_S3_IMS,DI Token Size Estimator S3 IMS HP
deduction,agent_renamed,agent,DI_Pagewise_TML_To_CSV_Converter_S3_IMS,,Agent renamed with preserved semantic role,Low semantic risk,DI_Pagewise_TML_To_CSV_Converter_S3_IMS,DI Pagewise TML To CSV Converter S3 IMS HP
deduction,agent_renamed,agent,DI_ThoughtSpotSQL_To_Lvdashboard_Converter_S3_IMS,,Agent renamed with preserved semantic role,Low semantic risk,DI_ThoughtSpotSQL_To_Lvdashboard_Converter_S3_IMS,DI ThoughtSpotSQL To Lvdashboard Converter S3 IMS HP
deduction,agent_renamed,agent,DI_Pagewise_ThoughtSpotSQL_To_Individual_Lvdashboard_Creator_S3_IMS,,Agent renamed with preserved semantic role,Low semantic risk,DI_Pagewise_ThoughtSpotSQL_To_Individual_Lvdashboard_Creator_S3_IMS,DI PageWise ThoughtSpotSQL To Individual Lvdashboard Creator S3 IMS HP Clone
deduction,agent_renamed,agent,DI_Pagewise_Thoughspot_Json_Merger_S3_IMS,,Agent renamed with preserved semantic role,Low semantic risk,DI_Pagewise_Thoughspot_Json_Merger_S3_IMS,DI Pagewise Thoughspot Json Merger S3 IMS HP Clone
deduction,field_change,workflow,,name,Workflow name updated with HP suffix,Minor branding change,DI_Pagewise_LvDash_Automated_WF_S3_IMS,DI Pagewise LvDash Automated WF S3 IMS HP
deduction,field_change,workflow,,description,Workflow description updated with HP suffix,Minor branding change,DI_Pagewise_LvDash_Automated_WF,DI Pagewise LvDash Automated WF S3 IMS HP
deduction,structural_analysis,agent,DI_Token_Size_Estimator_S3_IMS,id,Agent ID structure changed from nested to direct,Breaking change,agent.id,agentId
deduction,structural_analysis,agent,DI_Token_Size_Estimator_S3_IMS,name,Agent name structure changed from nested to direct,Breaking change,agent.name,name
deduction,missing_metadata,agent,DI_Token_Size_Estimator_S3_IMS,expectedOutput,Expected output specification removed,Loss of validation enforcement,task.expectedOutput,N/A (Missing in AAVA 2.0)
deduction,field_change,agent,DI_Token_Size_Estimator_S3_IMS,model,Model structure completely reorganized,Major structural change,llm.model,modelDeploymentName
deduction,field_change,agent,DI_Token_Size_Estimator_S3_IMS,tools,Tools structure changed from userTools to toolReferences,Structural reorganization,userTools,toolReferences
deduction,missing_metadata,agent,DI_Token_Size_Estimator_S3_IMS,llm,Complete LLM configuration object removed,Loss of model configuration,llm,N/A (Missing in AAVA 2.0)
deduction,missing_metadata,agent,DI_Token_Size_Estimator_S3_IMS,task,Complete task object removed,Loss of task definition,task,N/A (Missing in AAVA 2.0)
deduction,constraint_change,agent,DI_Token_Size_Estimator_S3_IMS,maxIter,Execution constraints moved to agentDetails,Constraint reorganization,maxIter,agentDetails.maxIter
deduction,constraint_change,agent,DI_Token_Size_Estimator_S3_IMS,maxExecutionTime,Execution constraints moved to agentDetails,Constraint reorganization,maxExecutionTime,agentDetails.maxExecutionTime
deduction,governance_issue,workflow,,validation,Removal of expectedOutput weakens governance controls,Reduced auditability,,
deduction,governance_issue,workflow,,traceability,Loss of detailed task definitions reduces traceability,Audit trail degradation,,
deduction,risk,agent,DI_Token_Size_Estimator_S3_IMS,configuration,Model configuration changes may affect behavior,Execution behavior risk,,
deduction,risk,workflow,,migration,Complete structural reorganization requires coordinated migration,High operational risk,,
deduction,schema_evolution,workflow,,versioning,No explicit versioning strategy evident,Version management risk,,
deduction,ambiguity,agent,DI_Token_Size_Estimator_S3_IMS,toolReferences,Tool reference structure unclear without examples,Implementation uncertainty,,
deduction,general_finding,workflow,,consistency,All agents follow consistent renaming pattern with HP suffix,Positive standardization,,
deduction,general_finding,workflow,,preservation,Core agent functionality and descriptions preserved,Semantic continuity maintained,,
