section,category,entity,sub_entity,attribute,description,impact,aava1_ref,aava2_ref
summary,overall_score,workflow,,,72,,
summary,semantic_similarity,workflow,,,85,,
summary,structural_similarity,workflow,,,35,,
summary,governance_quality,workflow,,,75,,
summary,migration_readiness,workflow,,,Requires comprehensive structural migration,,
scoring,semantic_similarity,workflow,,,High semantic preservation across all agents with identical descriptions,,
scoring,structural_similarity,workflow,,,Major breaking reorganization from flat nodes array to nested workFlowDetail structure,,
scoring,governance_quality,workflow,,,Loss of expectedOutput constraints reduces validation enforceability,,
scoring,overall,workflow,,,Balanced by high semantic correctness and preserved agent functionality,,
deduction,executive_summary,workflow,,,AAVA 2.0 introduces breaking structural changes while preserving core agent semantics,High migration effort required,,
deduction,structural_analysis,workflow,,workflowId,Workflow identifier moved from root to workFlowDetail container,Breaking path change,workflowId,workFlowDetail.id
deduction,structural_analysis,workflow,,workflowName,Workflow name moved from root to workFlowDetail container with format change,Breaking path change,workflowName,workFlowDetail.name
deduction,schema_evolution,workflow,,nodes,nodes container renamed to workflowAgents,Requires orchestration updates,nodes,workflowAgents
deduction,agent_renamed,agent,DI_SSIS_to_PySpark_Converter,,Agent name reformatted with spaces instead of underscores,Low semantic risk,DI_SSIS_to_PySpark_Converter,DI SSIS to PySpark Converter
deduction,agent_renamed,agent,DI_SSIS_to_PySpark_Unit_Tester,,Agent name reformatted with spaces instead of underscores,Low semantic risk,DI_SSIS_to_PySpark_Unit_Tester,DI SSIS to PySpark Unit Tester
deduction,agent_renamed,agent,DI_SSIS_to_PySpark_Conversion_Tester,,Agent name reformatted with spaces instead of underscores,Low semantic risk,DI_SSIS_to_PySpark_Conversion_Tester,DI SSIS to PySpark Conversion Tester
deduction,agent_renamed,agent,DI_SSIS_To_PySpark_Recon_Tester,,Agent name reformatted with spaces instead of underscores,Low semantic risk,DI_SSIS_To_PySpark_Recon_Tester,DI SSIS To PySpark Recon Tester
deduction,agent_renamed,agent,DI_SSIS_To_PySpark_Reviewer,,Agent name reformatted with spaces instead of underscores,Low semantic risk,DI_SSIS_To_PySpark_Reviewer,DI SSIS To PySpark Reviewer
deduction,field_change,agent,DI_SSIS_to_PySpark_Converter,agentName,agentName renamed to name,Low risk rename,agentName,name
deduction,field_change,agent,DI_SSIS_to_PySpark_Converter,model,model renamed to modelDeploymentName with version upgrade,Potential behavior variance,model,modelDeploymentName
deduction,field_change,agent,DI_SSIS_to_PySpark_Converter,tools,tools renamed to toolReferences,Low risk rename,tools,toolReferences
deduction,missing_metadata,agent,DI_SSIS_to_PySpark_Converter,task,task container structure removed,Loss of structured task definition,task,
deduction,missing_metadata,agent,DI_SSIS_to_PySpark_Converter,expectedOutput,Expected output specification removed,Loss of validation enforcement,task.expectedOutput,
deduction,agent_drift,agent,DI_SSIS_to_PySpark_Converter,description,Task description flattened from nested structure to direct field,Reduced constraint clarity,task.description,description
deduction,field_change,agent,DI_SSIS_to_PySpark_Unit_Tester,agentName,agentName renamed to name,Low risk rename,agentName,name
deduction,field_change,agent,DI_SSIS_to_PySpark_Unit_Tester,model,model renamed to modelDeploymentName with version upgrade,Potential behavior variance,model,modelDeploymentName
deduction,field_change,agent,DI_SSIS_to_PySpark_Unit_Tester,tools,tools renamed to toolReferences,Low risk rename,tools,toolReferences
deduction,missing_metadata,agent,DI_SSIS_to_PySpark_Unit_Tester,task,task container structure removed,Loss of structured task definition,task,
deduction,missing_metadata,agent,DI_SSIS_to_PySpark_Unit_Tester,expectedOutput,Expected output specification removed,Loss of validation enforcement,task.expectedOutput,
deduction,agent_drift,agent,DI_SSIS_to_PySpark_Unit_Tester,description,Task description flattened from nested structure to direct field,Reduced constraint clarity,task.description,description
deduction,field_change,agent,DI_SSIS_to_PySpark_Conversion_Tester,agentName,agentName renamed to name,Low risk rename,agentName,name
deduction,field_change,agent,DI_SSIS_to_PySpark_Conversion_Tester,model,model renamed to modelDeploymentName with version upgrade,Potential behavior variance,model,modelDeploymentName
deduction,field_change,agent,DI_SSIS_to_PySpark_Conversion_Tester,tools,tools renamed to toolReferences,Low risk rename,tools,toolReferences
deduction,missing_metadata,agent,DI_SSIS_to_PySpark_Conversion_Tester,task,task container structure removed,Loss of structured task definition,task,
deduction,missing_metadata,agent,DI_SSIS_to_PySpark_Conversion_Tester,expectedOutput,Expected output specification removed,Loss of validation enforcement,task.expectedOutput,
deduction,agent_drift,agent,DI_SSIS_to_PySpark_Conversion_Tester,description,Task description flattened from nested structure to direct field,Reduced constraint clarity,task.description,description
deduction,field_change,agent,DI_SSIS_To_PySpark_Recon_Tester,agentName,agentName renamed to name,Low risk rename,agentName,name
deduction,field_change,agent,DI_SSIS_To_PySpark_Recon_Tester,model,model renamed to modelDeploymentName with version upgrade,Potential behavior variance,model,modelDeploymentName
deduction,field_change,agent,DI_SSIS_To_PySpark_Recon_Tester,tools,tools renamed to toolReferences,Low risk rename,tools,toolReferences
deduction,missing_metadata,agent,DI_SSIS_To_PySpark_Recon_Tester,task,task container structure removed,Loss of structured task definition,task,
