section,category,entity,sub_entity,attribute,description,impact,aava1_ref,aava2_ref
summary,overall_score,workflow,,,65,
summary,semantic_similarity,workflow,,,95,
summary,structural_similarity,workflow,,,25,
summary,governance_quality,workflow,,,75,
summary,migration_readiness,workflow,,,Requires comprehensive structural migration with moderate complexity,
scoring,semantic_similarity,workflow,,,High semantic preservation - core agent functionality and instructions remain identical,
scoring,structural_similarity,workflow,,,Major breaking reorganization - complete container restructuring and field relocations,
scoring,governance_quality,workflow,,,Mixed impact - loss of expectedOutput but gain of explicit agent IDs and model versioning,
scoring,overall,workflow,,,Balanced by excellent semantic preservation despite structural breaking changes,
deduction,executive_summary,workflow,,,AAVA 2.0 introduces major structural reorganization while preserving complete semantic integrity,Requires coordinated migration effort,,
deduction,executive_summary,workflow,,,Single agent workflow maintains functional equivalence with enhanced metadata structure,Low execution risk but high migration complexity,,
deduction,executive_summary,workflow,,,Breaking changes in container organization require orchestration system updates,High operational impact during migration,,
deduction,structural_analysis,workflow,,workflowId,Workflow identifier relocated from root level to nested workFlowDetail.id container,Breaking path change requiring orchestration updates,workflowId,workFlowDetail.id
deduction,structural_analysis,workflow,,workflowName,Workflow name relocated from root level to nested workFlowDetail.name container,Breaking path change requiring orchestration updates,workflowName,workFlowDetail.name
deduction,structural_analysis,workflow,,nodes,Primary agent container renamed from nodes array to workflowAgents array,Breaking container change requiring agent discovery logic updates,nodes,workflowAgents
deduction,schema_evolution,workflow,,container,Complete workflow metadata containerization into workFlowDetail object,Requires metadata access pattern changes,,
deduction,schema_evolution,workflow,,structure,Flat workflow structure evolved to nested hierarchical organization,Requires parser and validation logic updates,,
deduction,agent_renamed,agent,DI_DataMapping_Recommender,agentName,Agent name field renamed from agentName to name with identical semantic value,Low risk cosmetic change,agentName,name
deduction,agent_drift,agent,DI_DataMapping_Recommender,agentId,New explicit agent identifier (3900) added for enhanced traceability,Positive governance enhancement - enables better agent tracking,,agentId
deduction,agent_drift,agent,DI_DataMapping_Recommender,model,Model specification relocated from model field to modelDeploymentName field,Field relocation requiring model configuration updates,model,modelDeploymentName
deduction,agent_drift,agent,DI_DataMapping_Recommender,model,Model version upgraded from gpt-4 to gpt-4.1,Potential behavioral variance requiring validation,gpt-4,gpt-4.1
deduction,field_change,agent,DI_DataMapping_Recommender,task,Task container structure flattened - task.description moved to root description field,Structural simplification with semantic preservation,task.description,description
deduction,field_change,agent,DI_DataMapping_Recommender,tools,Tools array renamed to toolReferences with empty array value,Field rename with functional change - no tools specified,tools,toolReferences
deduction,missing_metadata,agent,DI_DataMapping_Recommender,expectedOutput,Expected output specification completely removed from agent definition,Loss of validation enforcement and output contract clarity,,
deduction,missing_metadata,agent,DI_DataMapping_Recommender,task,Task container structure removed - only description field preserved,Loss of structured task metadata organization,,
deduction,governance_issue,workflow,,validation,Removal of expectedOutput field weakens output validation capabilities,Reduced contract enforcement and quality assurance,,
deduction,governance_issue,agent,DI_DataMapping_Recommender,constraints,Loss of explicit output format constraints reduces governance controls,Weakened validation and compliance checking,,
deduction,governance_issue,agent,DI_DataMapping_Recommender,traceability,Addition of agentId enhances agent tracking and audit capabilities,Improved governance and operational monitoring,,agentId
deduction,risk,workflow,,migration,Complete structural reorganization requires coordinated system-wide migration,High operational risk during transition period,,
deduction,risk,agent,DI_DataMapping_Recommender,model,Model version change from gpt-4 to gpt-4.1 may alter response patterns,Execution behavior variance risk requiring validation,gpt-4,gpt-4.1
deduction,risk,agent,DI_DataMapping_Recommender,tools,Empty toolReferences array removes FileWriterTool capability,Critical functional loss - agent cannot write output files,FileWriterTool,
deduction,risk,agent,DI_DataMapping_Recommender,validation,Loss of expectedOutput removes runtime validation capabilities,Quality assurance and error detection degradation,,
deduction,ambiguity,agent,DI_DataMapping_Recommender,tools,Unclear whether empty toolReferences indicates intentional removal or configuration error,Requires clarification for proper migration planning,,
deduction,general_finding,workflow,,compatibility,Zero backward compatibility due to complete structural reorganization,Requires full migration - no incremental upgrade path,,
deduction,general_finding,workflow,,semantics,Perfect semantic preservation maintains functional equivalence,Core business logic and instructions remain intact,,
deduction,general_finding,agent,DI_DataMapping_Recommender,instructions,Identical instruction content preserves agent behavior specification,Functional continuity maintained despite structural changes,,
deduction,general_finding,agent,DI_DataMapping_Recommender,metadata,Enhanced metadata structure with explicit IDs improves system organization,Better governance foundation for future evolution,,
