section,category,entity,sub_entity,attribute,description,impact,aava1_ref,aava2_ref
summary,overall_score,workflow,,,72,
summary,semantic_similarity,workflow,,,85,
summary,structural_similarity,workflow,,,45,
summary,governance_quality,workflow,,,80,
summary,migration_readiness,workflow,,,Requires comprehensive structural migration,
scoring,semantic_similarity,workflow,,,High semantic preservation across all agents with minimal prompt changes,
scoring,structural_similarity,workflow,,,Major breaking reorganization from flat to nested structure,
scoring,governance_quality,workflow,,,Partial loss of expectedOutput constraints but maintained core governance,
scoring,overall,workflow,,,Balanced by strong semantic preservation despite structural changes,
deduction,executive_summary,workflow,,,AAVA 2.0 introduces breaking structural changes while preserving core agent semantics,High migration effort required,,
deduction,executive_summary,workflow,,,Five agents successfully mapped with consistent functionality preservation,Medium risk for execution continuity,,
deduction,executive_summary,workflow,,,Model upgrades from gpt-4 to gpt-4.1 across all agents,Potential behavior variance risk,,
deduction,executive_summary,workflow,,,Complete workflow container restructuring requires orchestration updates,Breaking change for dependent systems,,
deduction,structural_analysis,workflow,,workflowId,Workflow identifier moved from root level to nested workFlowDetail.id,Breaking path change,workflowId,workFlowDetail.id
deduction,structural_analysis,workflow,,workflowName,Workflow name moved from root to nested workFlowDetail.name with formatting change,Path and format breaking change,workflowName,workFlowDetail.name
deduction,schema_evolution,workflow,,container,Root nodes container renamed to workflowAgents with structural reorganization,Requires orchestration system updates,nodes,workflowAgents
deduction,schema_evolution,workflow,,nesting,Flat structure converted to nested hierarchy with workFlowDetail wrapper,Major architectural change,,
deduction,agent_renamed,agent,DI_INFA_to_ PySpark_Converter,,Agent name standardized with space normalization,Low semantic impact,DI_INFA_to_ PySpark_Converter,DI INFA to  PySpark Converter
deduction,agent_renamed,agent,DI_INFA_to_PySpark_UnitTest,,Agent name formatting standardized,Low semantic impact,DI_INFA_to_PySpark_UnitTest,DI INFA to PySpark UnitTest
deduction,agent_renamed,agent,DI_INFA_to_PySpark_Conversion_Tester,,Agent name formatting standardized,Low semantic impact,DI_INFA_to_PySpark_Conversion_Tester,DI INFA to PySpark Conversion Tester
deduction,agent_renamed,agent,DI_INFA_to_PySpark_Recon_Tester,,Agent name formatting standardized,Low semantic impact,DI_INFA_to_PySpark_Recon_Tester,DI INFA to PySpark Recon Tester
deduction,agent_renamed,agent,DI_INFA_to_PySpark_Reviewer,,Agent name formatting standardized,Low semantic impact,DI_INFA_to_PySpark_Reviewer,DI INFA to PySpark Reviewer
deduction,field_change,agent,DI INFA to  PySpark Converter,agentName,agentName field renamed to name with ID addition,Structural breaking change,agentName,name
deduction,field_change,agent,DI INFA to  PySpark Converter,model,model field renamed to modelDeploymentName,Breaking field reference change,model,modelDeploymentName
deduction,field_change,agent,DI INFA to  PySpark Converter,tools,tools field renamed to toolReferences,Breaking field reference change,tools,toolReferences
deduction,missing_metadata,agent,DI INFA to  PySpark Converter,task,Complete task container structure removed,Loss of structured task definition,task,
deduction,missing_metadata,agent,DI INFA to  PySpark Converter,expectedOutput,Expected output specification removed from task structure,Loss of validation enforcement,task.expectedOutput,
deduction,field_change,agent,DI INFA to  PySpark Converter,description,Task description flattened from nested task.description to root description,Structural simplification,task.description,description
deduction,type_change,agent,DI INFA to  PySpark Converter,model,Model upgraded from gpt-4 to gpt-4.1,Potential behavior variance,gpt-4,gpt-4.1
deduction,field_change,agent,DI INFA to PySpark UnitTest,agentName,agentName field renamed to name with ID addition,Structural breaking change,agentName,name
deduction,field_change,agent,DI INFA to PySpark UnitTest,model,model field renamed to modelDeploymentName,Breaking field reference change,model,modelDeploymentName
deduction,field_change,agent,DI INFA to PySpark UnitTest,tools,tools field renamed to toolReferences,Breaking field reference change,tools,toolReferences
deduction,missing_metadata,agent,DI INFA to PySpark UnitTest,task,Complete task container structure removed,Loss of structured task definition,task,
deduction,missing_metadata,agent,DI INFA to PySpark UnitTest,expectedOutput,Expected output specification removed from task structure,Loss of validation enforcement,task.expectedOutput,
deduction,field_change,agent,DI INFA to PySpark UnitTest,description,Task description flattened from nested task.description to root description,Structural simplification,task.description,description
deduction,type_change,agent,DI INFA to PySpark UnitTest,model,Model upgraded from gpt-4 to gpt-4.1,Potential behavior variance,gpt-4,gpt-4.1
deduction,field_change,agent,DI INFA to PySpark Conversion Tester,agentName,agentName field renamed to name with ID addition,Structural breaking change,agentName,name
deduction,field_change,agent,DI INFA to PySpark Conversion Tester,model,model field renamed to modelDeploymentName,Breaking field reference change,model,modelDeploymentName
deduction,field_change,agent,DI INFA to PySpark Conversion Tester,tools,tools field renamed to toolReferences,Breaking field reference change,tools,toolReferences
deduction,missing_metadata,agent,DI INFA to PySpark Conversion Tester,task,Complete task container structure removed,Loss of structured task definition,task,
deduction,missing_metadata,agent,DI INFA to PySpark Conversion Tester,expectedOutput,Expected output specification removed from task structure,Loss of validation enforcement,task.expectedOutput,
deduction,field_change,agent,DI INFA to PySpark Conversion Tester,description,Task description flattened from nested task.description to root description,Structural simplification,task.description,description
