section,category,entity,sub_entity,attribute,description,impact,aava1_ref,aava2_ref
summary,overall_score,workflow,,,72,
summary,semantic_similarity,workflow,,,85,
summary,structural_similarity,workflow,,,45,
summary,governance_quality,workflow,,,70,
summary,migration_readiness,workflow,,,Requires comprehensive structural migration,
scoring,semantic_similarity,workflow,,,High semantic preservation across all agents with identical core functionality,
scoring,structural_similarity,workflow,,,Major breaking reorganization from flat nodes array to nested workflowAgents structure,
scoring,governance_quality,workflow,,,Loss of expectedOutput constraints reduces validation enforceability,
scoring,overall,workflow,,,Balanced by strong semantic preservation despite structural breaking changes,
deduction,executive_summary,workflow,,,AAVA 2.0 introduces breaking structural changes while preserving core agent semantics,High migration effort required,
deduction,executive_summary,workflow,,,All five agents maintain functional equivalence with enhanced model versions,Positive capability enhancement,
deduction,executive_summary,workflow,,,Workflow container restructuring requires orchestration system updates,Breaking change impact,
deduction,structural_analysis,workflow,,workflowId,Workflow identifier moved from root level to nested workFlowDetail.id,Breaking path change,workflowId,workFlowDetail.id
deduction,structural_analysis,workflow,,workflowName,Workflow name moved from root level to nested workFlowDetail.name,Breaking path change,workflowName,workFlowDetail.name
deduction,schema_evolution,workflow,,nodes,nodes container renamed to workflowAgents,Requires orchestration updates,nodes,workflowAgents
deduction,schema_evolution,workflow,,structure,Flat array structure replaced with nested workflow detail container,Major architectural change,,
deduction,agent_renamed,agent,SqlServer_to_DBT_Converter,,Agent name changed from SqlServer_to_DBT_Converter to SqlServer to DBT Converter,Cosmetic change with space addition,
deduction,agent_renamed,agent,SqlServer_to_DBT_Unit_Test,,Agent name changed from SqlServer_to_DBT_Unit_Test to SqlServer to DBT Unit Test,Cosmetic change with space addition,
deduction,agent_renamed,agent,SqlServer_to_DBT_Conversion_Tester,,Agent name changed from SqlServer_to_DBT_Conversion_Tester to SqlServer to DBT Conversion Tester,Cosmetic change with space addition,
deduction,agent_renamed,agent,SqlServer_to_DBT_Reconciliation,,Agent name changed from SqlServer_to_DBT_Reconciliation to SqlServer to DBT Reconciliation,Cosmetic change with space addition,
deduction,agent_renamed,agent,SQL Server to DBT Reviewer,,Agent name changed from SQL Server to DBT Reviewer (no change in AAVA 2.0),No change required,
deduction,field_change,agent,SqlServer_to_DBT_Converter,agentName,agentName field replaced with name field,Requires field mapping,agentName,name
deduction,field_change,agent,SqlServer_to_DBT_Converter,model,model field replaced with modelDeploymentName field,Requires field mapping,model,modelDeploymentName
deduction,field_change,agent,SqlServer_to_DBT_Converter,tools,tools field replaced with toolReferences field,Requires field mapping,tools,toolReferences
deduction,field_change,agent,SqlServer_to_DBT_Converter,task,task container structure flattened into description field,Structural simplification,task,description
deduction,missing_metadata,agent,SqlServer_to_DBT_Converter,expectedOutput,expectedOutput specification removed from task structure,Loss of validation enforcement,,
deduction,missing_metadata,agent,SqlServer_to_DBT_Converter,agentId,agentId field added in AAVA 2.0 for unique identification,Enhanced identification capability,,agentId
deduction,type_change,agent,SqlServer_to_DBT_Converter,model,Model upgraded from gpt-4o to gpt-4.1,Potential behavior variance,gpt-4o,gpt-4.1
deduction,field_change,agent,SqlServer_to_DBT_Unit_Test,agentName,agentName field replaced with name field,Requires field mapping,agentName,name
deduction,field_change,agent,SqlServer_to_DBT_Unit_Test,model,model field replaced with modelDeploymentName field,Requires field mapping,model,modelDeploymentName
deduction,field_change,agent,SqlServer_to_DBT_Unit_Test,tools,tools field replaced with toolReferences field,Requires field mapping,tools,toolReferences
deduction,field_change,agent,SqlServer_to_DBT_Unit_Test,task,task container structure flattened into description field,Structural simplification,task,description
deduction,missing_metadata,agent,SqlServer_to_DBT_Unit_Test,expectedOutput,expectedOutput specification removed from task structure,Loss of validation enforcement,,
deduction,missing_metadata,agent,SqlServer_to_DBT_Unit_Test,agentId,agentId field added in AAVA 2.0 for unique identification,Enhanced identification capability,,agentId
deduction,type_change,agent,SqlServer_to_DBT_Unit_Test,model,Model upgraded from gpt-4o to gpt-4.1,Potential behavior variance,gpt-4o,gpt-4.1
deduction,field_change,agent,SqlServer_to_DBT_Conversion_Tester,agentName,agentName field replaced with name field,Requires field mapping,agentName,name
deduction,field_change,agent,SqlServer_to_DBT_Conversion_Tester,model,model field replaced with modelDeploymentName field,Requires field mapping,model,modelDeploymentName
deduction,field_change,agent,SqlServer_to_DBT_Conversion_Tester,tools,tools field replaced with toolReferences field,Requires field mapping,tools,toolReferences
deduction,field_change,agent,SqlServer_to_DBT_Conversion_Tester,task,task container structure flattened into description field,Structural simplification,task,description
deduction,missing_metadata,agent,SqlServer_to_DBT_Conversion_Tester,expectedOutput,expectedOutput specification removed from task structure,Loss of validation enforcement,,
deduction,missing_metadata,agent,SqlServer_to_DBT_Conversion_Tester,agentId,agentId field added in AAVA 2.0 for unique identification,Enhanced identification capability,,agentId
deduction,type_change,agent,SqlServer_to_DBT_Conversion_Tester,model,Model upgraded from gpt-4o to gpt-4.1,Potential behavior variance,gpt-4o,gpt-4.1
deduction,field_change,agent,SqlServer_to_DBT_Reconciliation,agentName,agentName field replaced with name field,Requires field mapping,agentName,name
